population=2498 receivers=29 max_gws=5 tau=3.0
conditions=483 total_condition_message_hits_lt2=19743
max_condition_lt2_pct=11.168935
verdict=OPEN: fallback invoked; regenerate affected DIFF outputs

condition,max_gws,messages,zero,one,lt2,lt2_pct,min,median,max
reference,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f1_draw0,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f1_draw1,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f1_draw2,5,2498,18,9,27,1.080865,0,5.0,10
E1_D250_f1_draw3,5,2498,13,13,26,1.040833,0,5.0,10
E1_D250_f1_draw4,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f1_draw5,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f1_draw6,5,2498,11,15,26,1.040833,0,5.0,10
E1_D250_f1_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f3_draw0,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f3_draw1,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f3_draw2,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f3_draw3,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f3_draw4,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f3_draw5,5,2498,12,14,26,1.040833,0,5.0,10
E1_D250_f3_draw6,5,2498,15,9,24,0.960769,0,5.0,10
E1_D250_f3_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f7_draw0,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f7_draw1,5,2498,15,15,30,1.200961,0,5.0,10
E1_D250_f7_draw2,5,2498,10,12,22,0.880705,0,5.0,10
E1_D250_f7_draw3,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f7_draw4,5,2498,21,16,37,1.481185,0,5.0,10
E1_D250_f7_draw5,5,2498,13,10,23,0.920737,0,5.0,10
E1_D250_f7_draw6,5,2498,19,11,30,1.200961,0,5.0,10
E1_D250_f7_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f14_draw0,5,2498,14,14,28,1.120897,0,5.0,10
E1_D250_f14_draw1,5,2498,16,11,27,1.080865,0,5.0,10
E1_D250_f14_draw2,5,2498,16,10,26,1.040833,0,5.0,10
E1_D250_f14_draw3,5,2498,15,15,30,1.200961,0,5.0,10
E1_D250_f14_draw4,5,2498,15,15,30,1.200961,0,5.0,10
E1_D250_f14_draw5,5,2498,17,13,30,1.200961,0,5.0,10
E1_D250_f14_draw6,5,2498,13,13,26,1.040833,0,5.0,10
E1_D250_f14_draw7,5,2498,14,13,27,1.080865,0,5.0,10
E1_D250_f21_draw0,5,2498,13,12,25,1.000801,0,5.0,10
E1_D250_f21_draw1,5,2498,17,15,32,1.281025,0,5.0,10
E1_D250_f21_draw2,5,2498,13,9,22,0.880705,0,5.0,10
E1_D250_f21_draw3,5,2498,11,12,23,0.920737,0,5.0,10
E1_D250_f21_draw4,5,2498,28,10,38,1.521217,0,5.0,10
E1_D250_f21_draw5,5,2498,28,18,46,1.841473,0,5.0,10
E1_D250_f21_draw6,5,2498,13,14,27,1.080865,0,5.0,10
E1_D250_f21_draw7,5,2498,13,8,21,0.840673,0,5.0,10
E1_D250_f29_draw0,5,2498,16,8,24,0.960769,0,5.0,10
E1_D250_f29_draw1,5,2498,6,8,14,0.560448,0,5.0,10
E1_D250_f29_draw2,5,2498,15,6,21,0.840673,0,5.0,10
E1_D250_f29_draw3,5,2498,15,17,32,1.281025,0,5.0,10
E1_D250_f29_draw4,5,2498,9,9,18,0.720576,0,5.0,10
E1_D250_f29_draw5,5,2498,19,13,32,1.281025,0,5.0,10
E1_D250_f29_draw6,5,2498,13,10,23,0.920737,0,5.0,10
E1_D250_f29_draw7,5,2498,23,23,46,1.841473,0,5.0,10
E1_D500_f1_draw0,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f1_draw1,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f1_draw2,5,2498,14,13,27,1.080865,0,5.0,10
E1_D500_f1_draw3,5,2498,14,13,27,1.080865,0,5.0,10
E1_D500_f1_draw4,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f1_draw5,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f1_draw6,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f1_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f3_draw0,5,2498,13,15,28,1.120897,0,5.0,10
E1_D500_f3_draw1,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f3_draw2,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f3_draw3,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f3_draw4,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f3_draw5,5,2498,12,11,23,0.920737,0,5.0,10
E1_D500_f3_draw6,5,2498,10,12,22,0.880705,0,5.0,10
E1_D500_f3_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f7_draw0,5,2498,13,16,29,1.160929,0,5.0,10
E1_D500_f7_draw1,5,2498,19,16,35,1.401121,0,5.0,10
E1_D500_f7_draw2,5,2498,8,11,19,0.760608,0,5.0,10
E1_D500_f7_draw3,5,2498,12,13,25,1.000801,0,5.0,10
E1_D500_f7_draw4,5,2498,16,11,27,1.080865,0,5.0,10
E1_D500_f7_draw5,5,2498,8,5,13,0.520416,0,5.0,10
E1_D500_f7_draw6,5,2498,12,12,24,0.960769,0,5.0,10
E1_D500_f7_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D500_f14_draw0,5,2498,14,14,28,1.120897,0,5.0,10
E1_D500_f14_draw1,5,2498,17,15,32,1.281025,0,5.0,10
E1_D500_f14_draw2,5,2498,17,18,35,1.401121,0,5.0,10
E1_D500_f14_draw3,5,2498,19,21,40,1.601281,0,5.0,10
E1_D500_f14_draw4,5,2498,19,20,39,1.561249,0,5.0,10
E1_D500_f14_draw5,5,2498,15,16,31,1.240993,0,5.0,10
E1_D500_f14_draw6,5,2498,15,16,31,1.240993,0,5.0,10
E1_D500_f14_draw7,5,2498,14,15,29,1.160929,0,5.0,10
E1_D500_f21_draw0,5,2498,7,9,16,0.640512,0,5.0,10
E1_D500_f21_draw1,5,2498,17,18,35,1.401121,0,5.0,10
E1_D500_f21_draw2,5,2498,17,17,34,1.361089,0,5.0,10
E1_D500_f21_draw3,5,2498,14,23,37,1.481185,0,5.0,10
E1_D500_f21_draw4,5,2498,17,15,32,1.281025,0,5.0,10
E1_D500_f21_draw5,5,2498,31,22,53,2.121697,0,5.0,10
E1_D500_f21_draw6,5,2498,12,8,20,0.800641,0,5.0,10
E1_D500_f21_draw7,5,2498,12,6,18,0.720576,0,5.0,10
E1_D500_f29_draw0,5,2498,15,16,31,1.240993,0,5.0,10
E1_D500_f29_draw1,5,2498,5,10,15,0.600480,0,5.0,10
E1_D500_f29_draw2,5,2498,10,11,21,0.840673,0,5.0,10
E1_D500_f29_draw3,5,2498,14,8,22,0.880705,0,5.0,10
E1_D500_f29_draw4,5,2498,3,6,9,0.360288,0,5.0,10
E1_D500_f29_draw5,5,2498,20,15,35,1.401121,0,5.0,10
E1_D500_f29_draw6,5,2498,12,13,25,1.000801,0,5.0,10
E1_D500_f29_draw7,5,2498,24,27,51,2.041633,0,5.0,10
E1_D1000_f1_draw0,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f1_draw1,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f1_draw2,5,2498,8,4,12,0.480384,0,5.0,10
E1_D1000_f1_draw3,5,2498,14,13,27,1.080865,0,5.0,10
E1_D1000_f1_draw4,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f1_draw5,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f1_draw6,5,2498,12,17,29,1.160929,0,5.0,10
E1_D1000_f1_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f3_draw0,5,2498,20,15,35,1.401121,0,5.0,10
E1_D1000_f3_draw1,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f3_draw2,5,2498,15,13,28,1.120897,0,5.0,10
E1_D1000_f3_draw3,5,2498,14,13,27,1.080865,0,5.0,10
E1_D1000_f3_draw4,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f3_draw5,5,2498,11,11,22,0.880705,0,5.0,10
E1_D1000_f3_draw6,5,2498,9,6,15,0.600480,0,5.0,10
E1_D1000_f3_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f7_draw0,5,2498,19,15,34,1.361089,0,5.0,10
E1_D1000_f7_draw1,5,2498,18,13,31,1.240993,0,5.0,10
E1_D1000_f7_draw2,5,2498,9,14,23,0.920737,0,5.0,10
E1_D1000_f7_draw3,5,2498,14,16,30,1.200961,0,5.0,10
E1_D1000_f7_draw4,5,2498,9,12,21,0.840673,0,5.0,10
E1_D1000_f7_draw5,5,2498,7,4,11,0.440352,0,5.0,10
E1_D1000_f7_draw6,5,2498,6,9,15,0.600480,0,5.0,10
E1_D1000_f7_draw7,5,2498,13,12,25,1.000801,0,5.0,10
E1_D1000_f14_draw0,5,2498,13,23,36,1.441153,0,5.0,10
E1_D1000_f14_draw1,5,2498,12,9,21,0.840673,0,5.0,10
E1_D1000_f14_draw2,5,2498,12,13,25,1.000801,0,5.0,10
E1_D1000_f14_draw3,5,2498,18,21,39,1.561249,0,5.0,10
E1_D1000_f14_draw4,5,2498,10,15,25,1.000801,0,5.0,10
E1_D1000_f14_draw5,5,2498,6,11,17,0.680544,0,5.0,10
E1_D1000_f14_draw6,5,2498,4,13,17,0.680544,0,5.0,10
